LEFT_HAND,RIGHT_HAND,THUMB_CMC_DISTANCE_FROM_WRIST,THUMB_MCP_DISTANCE_FROM_WRIST,THUMB_IP_DISTANCE_FROM_WRIST,THUMB_TIP_DISTANCE_FROM_WRIST,INDEX_FINGER_MCP_DISTANCE_FROM_WRIST,INDEX_FINGER_PIP_DISTANCE_FROM_WRIST,INDEX_FINGER_DIP_DISTANCE_FROM_WRIST,INDEX_FINGER_TIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_MCP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_PIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_DIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_TIP_DISTANCE_FROM_WRIST,RING_FINGER_MCP_DISTANCE_FROM_WRIST,RING_FINGER_PIP_DISTANCE_FROM_WRIST,RING_FINGER_DIP_DISTANCE_FROM_WRIST,RING_FINGER_TIP_DISTANCE_FROM_WRIST,PINKY_MCP_DISTANCE_FROM_WRIST,PINKY_PIP_DISTANCE_FROM_WRIST,PINKY_DIP_DISTANCE_FROM_WRIST,PINKY_TIP_DISTANCE_FROM_WRIST,THUMB_CMC_ANGLE_FROM_WRIST,THUMB_MCP_ANGLE_FROM_WRIST,THUMB_IP_ANGLE_FROM_WRIST,THUMB_TIP_ANGLE_FROM_WRIST,INDEX_FINGER_MCP_ANGLE_FROM_WRIST,INDEX_FINGER_PIP_ANGLE_FROM_WRIST,INDEX_FINGER_DIP_ANGLE_FROM_WRIST,INDEX_FINGER_TIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_MCP_ANGLE_FROM_WRIST,MIDDLE_FINGER_PIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_DIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_TIP_ANGLE_FROM_WRIST,RING_FINGER_MCP_ANGLE_FROM_WRIST,RING_FINGER_PIP_ANGLE_FROM_WRIST,RING_FINGER_DIP_ANGLE_FROM_WRIST,RING_FINGER_TIP_ANGLE_FROM_WRIST,PINKY_MCP_ANGLE_FROM_WRIST,PINKY_PIP_ANGLE_FROM_WRIST,PINKY_DIP_ANGLE_FROM_WRIST,PINKY_TIP_ANGLE_FROM_WRIST,label
0,1,0.0740958,0.12006884,0.14268239,0.16408278,0.13738161,0.16928819,0.14272235,0.121455155,0.13582772,0.14592703,0.11030416,0.09280372,0.13444643,0.11748698,0.08053279,0.0689858,0.13362977,0.09827452,0.06868109,0.067947686,0.2810465,0.3345579,0.36903724,0.38663054,0.44626117,0.39461744,0.3583217,0.3605187,0.0,0.41780683,0.37347555,0.39468002,0.54573935,0.44771597,0.40414444,0.45006195,0.5865712,0.4965106,0.4730489,0.52591884,closed
0,1,0.07389302,0.12157457,0.14388189,0.16375272,0.1387551,0.17465453,0.14734048,0.12426479,0.13590576,0.15093827,0.11220567,0.09367205,0.13459101,0.12048483,0.080187626,0.07080002,0.13510977,0.09987097,0.06907004,0.07280175,0.28954318,0.3404491,0.37536246,0.39520735,0.44504407,0.39857334,0.36164534,0.36225456,0.0,0.4219912,0.37975502,0.40552714,0.5478968,0.4545176,0.41489008,0.46861207,0.59149253,0.50642,0.48781732,0.5447178,closed
0,1,0.07237135,0.1172657,0.13889235,0.15676434,0.13564548,0.16854946,0.14031295,0.11953435,0.13278987,0.14470993,0.10598533,0.09178915,0.13248205,0.1178776,0.07788348,0.071891345,0.13633619,0.10038844,0.06811831,0.07261385,0.2850467,0.338975,0.3788875,0.40441775,0.4407334,0.40156356,0.3636282,0.36676207,0.0,0.4277484,0.38542175,0.41778734,0.55061346,0.46341968,0.42076594,0.4772368,0.5959798,0.51895326,0.49423727,0.5481146,closed
0,1,0.08615775,0.1306074,0.15133552,0.17451565,0.13834135,0.16838886,0.14496912,0.12827621,0.12189474,0.1452656,0.1158384,0.100101665,0.10774926,0.11619132,0.08517968,0.07065444,0.10838048,0.09178346,0.06411014,0.05518398,0.33480802,0.3788259,0.41474697,0.432252,0.45001855,0.442867,0.4153522,0.40982276,0.0,0.46212277,0.42345932,0.42467788,0.55692506,0.49650016,0.44670904,0.46167126,0.6253386,0.55042446,0.5076805,0.5298268,closed
0,1,0.066289715,0.1123533,0.14005443,0.16388346,0.13337514,0.1644529,0.13512287,0.11583073,0.13428894,0.14288495,0.10239015,0.08881368,0.13706401,0.118839055,0.075131826,0.07029584,0.14185494,0.107882835,0.07355269,0.07690432,0.28069365,0.338212,0.3710366,0.39035544,0.44644237,0.40031856,0.36355227,0.37049234,0.0,0.42658398,0.38527986,0.41908306,0.54759943,0.4653342,0.431341,0.48452768,0.5900637,0.5219566,0.5077937,0.5512432,closed
0,1,0.08201736,0.1270159,0.14479521,0.16585183,0.13220336,0.16083026,0.14406544,0.12862802,0.116076306,0.14451158,0.11686699,0.10093568,0.10729359,0.11528217,0.079943545,0.065915376,0.11371805,0.09336998,0.062358055,0.056084443,0.32200608,0.37265947,0.41551948,0.439284,0.44077668,0.4399463,0.41004786,0.40934098,0.0,0.4667073,0.42447233,0.42960718,0.56331515,0.5024384,0.4458733,0.4702366,0.62876785,0.5555199,0.51202714,0.5460909,closed
0,1,0.09469291,0.145644,0.16188331,0.17109843,0.13939005,0.17062183,0.16824925,0.16444805,0.11824346,0.1487,0.1308401,0.117580704,0.0985494,0.12023682,0.09384055,0.078611694,0.09110834,0.09218397,0.06885043,0.05715335,0.35524425,0.38870177,0.42269206,0.45205346,0.45518732,0.46766222,0.45183414,0.4461958,0.0,0.48955777,0.4588398,0.45128575,0.5583595,0.5272195,0.4789756,0.46486408,0.636104,0.58263606,0.5277673,0.51071143,closed
0,1,0.04064759,0.09415745,0.14315884,0.18051493,0.14761913,0.19559085,0.1383242,0.119280264,0.15002334,0.19415379,0.1240433,0.10945245,0.14869305,0.17839447,0.107807145,0.09467502,0.14766069,0.16657415,0.11639168,0.103131935,0.31712496,0.3874863,0.42013434,0.4451401,0.4697058,0.4804769,0.46044686,0.45420188,0.0,0.5023739,0.48121065,0.48015139,0.52876776,0.5248605,0.5107204,0.5120267,0.5589782,0.5473927,0.5429965,0.5479354,closed
0,1,0.041603934,0.09683345,0.14627713,0.1836152,0.14971644,0.19567789,0.13855423,0.12071313,0.15206867,0.19634026,0.12730502,0.11298083,0.14994343,0.18066345,0.111859605,0.09955239,0.14861159,0.16724353,0.11955453,0.108153276,0.3215371,0.39172694,0.4219206,0.44615445,0.47039932,0.48048037,0.46036792,0.4541605,0.0,0.50259465,0.48250228,0.4817695,0.52843076,0.5247099,0.5111362,0.51289105,0.5585782,0.5477612,0.54317963,0.54738635,closed
0,1,0.04568199,0.113891274,0.17172603,0.21215034,0.18427485,0.24323116,0.18597522,0.15034796,0.18440902,0.24191332,0.17460003,0.14448215,0.18008141,0.23447926,0.17336714,0.14342174,0.17254534,0.21464252,0.17530772,0.15034965,0.39074916,0.44620523,0.4847755,0.5016016,0.4768357,0.48839623,0.48456326,0.47635502,0.0,0.50626963,0.5025893,0.49495462,0.52052116,0.52264184,0.5201583,0.5153743,0.5418403,0.5367022,0.53563243,0.5339594,closed
